"","source","target"
"5370",0,13
"6618",9,16
"7858",10,19
"8265",4,20
"8691",17,21
"9104",17,22
"9108",21,22
"9501",1,23
"11159",7,27
"12406",15,30
"14874",5,36
"17799",39,43
"18587",1,45
"18609",23,45
"19427",15,47
"19442",30,47
"20269",31,49
"20657",6,50
"21921",31,53
"21939",49,53
"22325",22,54
"24822",41,60
"25235",41,61
"25254",60,61
"26484",51,64
"27698",26,67
"28116",31,68
"28134",49,68
"28138",53,68
"29768",31,72
"29786",49,72
"29790",53,72
"29805",68,72
"30165",15,73
"30180",30,73
"30197",47,73
"31424",35,76
"33867",0,82
"33880",13,82
"34321",41,83
"34340",60,83
"34341",61,83
"34696",3,84
"35571",52,86
"35949",17,87
"35953",21,87
"35954",22,87
"36835",77,89
"37240",69,90
"37593",9,91
"37600",16,91
"37665",81,91
"38488",78,93
"38826",3,94
"38907",84,94
"39728",79,96
"40068",6,97
"40112",50,97
"40486",11,98
"41323",22,100
"41355",54,100
"42215",88,102
"42970",17,104
"42974",21,104
"42975",22,104
"43040",87,104
"43381",15,105
"43396",30,105
"43413",47,105
"43439",73,105
"43859",80,106
"45441",10,110
"45450",19,110
"46283",26,112
"46324",67,112
"46765",95,113
"47496",0,115
"47578",82,115
"47923",14,116
"48336",14,117
"50008",34,121
"50421",34,122
"50508",121,122
"50882",82,123
"50915",115,123
"51231",18,124
"51635",9,125
"51642",16,125
"51717",91,125
"52063",24,126
"52880",15,128
"52895",30,128
"52912",47,128
"52938",73,128
"52970",105,128
"53324",46,129
"53715",24,130
"54189",85,131
"54579",62,132
"54962",32,133
"55405",62,134
"55475",132,134
"56608",26,137
"56649",67,137
"56694",112,137
"57054",59,138
"57433",25,139
"57828",7,140
"57848",27,140
"58322",88,141
"59112",52,143
"59134",74,143
"59139",79,143
"59156",96,143
"59550",77,144
"59562",89,144
"60309",10,146
"60318",19,146
"60409",110,146
"60787",75,147
"61245",120,148
"61540",2,149
"61995",44,150
"62484",120,151
"62512",148,151
"63224",34,153
"63311",121,153
"63312",122,153
"64045",29,155
"64064",48,155
"64130",114,155
"64873",31,157
"64891",49,157
"64895",53,157
"64910",68,157
"64914",72,157
"65301",46,158
"65384",129,158
"65699",31,159
"65717",49,159
"65721",53,159
"65736",68,159
"65740",72,159
"65825",157,159
"66152",71,160
"66512",18,161
"66618",124,161
"66955",48,162
"67062",155,162
"67351",31,163
"67369",49,163
"67373",53,163
"67388",68,163
"67392",72,163
"67477",157,163
"67479",159,163
"67759",26,164
"67800",67,164
"67845",112,164
"67870",137,164
"68228",82,165
"68570",11,166
"68657",98,166
"68986",14,167
"69089",117,167
"69835",37,169
"70330",119,170
"70646",22,171
"70678",54,171
"70724",100,171
"71054",17,172
"71058",21,172
"71059",22,172
"71124",87,172
"71141",104,172
"71455",5,173
"71486",36,173
"71865",2,174
"72012",149,174
"72721",32,176
"72822",133,176
"73150",48,177
"73257",155,177
"73264",162,177
"73567",52,178
"73979",51,179
"73992",64,179
"74380",39,180
"74384",43,180
"75175",8,182
"75594",14,183
"75696",116,183
"76107",114,184
"76148",155,184
"76520",114,185
"76561",155,185
"76590",184,185
"76836",17,186
"76840",21,186
"76841",22,186
"76906",87,186
"76923",104,186
"76991",172,186
"77327",95,187
"77345",113,187
"78089",31,189
"78107",49,189
"78111",53,189
"78126",68,189
"78130",72,189
"78215",157,189
"78217",159,189
"78221",163,189
"78556",85,190
"78602",131,190
"79065",181,191
"79485",188,192
"79747",37,193
"79879",169,193
"80186",63,194
"80550",14,195
"80653",117,195
"80703",167,195
"80963",14,196
"81066",117,196
"81116",167,196
"81852",77,198
"81864",89,198
"81919",144,198
"82324",136,199
"82607",6,200
"82651",50,200
"82698",97,200
"83080",66,201
"83427",0,202
"83440",13,202
"83509",82,202
"83948",108,203
"84714",48,205
"84821",155,205
"84828",162,205
"84843",177,205
"85680",188,207
"85684",192,207
"85919",14,208
"86022",117,208
"86072",167,208
"86101",196,208
"86410",92,209
"86783",52,210
"86834",103,210
"86874",143,210
"86909",178,210
"86937",206,210
"87210",66,211
"87345",201,211
"87608",51,212
"87621",64,212
"87736",179,212
"88065",95,213
"88083",113,213
"88157",187,213
"88389",6,214
"88433",50,214
"88480",97,214
"88583",200,214
"88938",142,215
"89344",135,216
"89717",95,217
"89735",113,217
"89809",187,217
"89835",213,217
"90059",24,218
"90161",126,218
"90526",78,219
"90541",93,219
"91388",114,221
"91429",155,221
"91458",184,221
"91459",185,221
"91719",32,222
"91820",133,222
"91863",176,222
"92105",5,223
"92136",36,223
"92273",173,223
"92614",101,224
"92982",56,225
"93339",0,226
"93421",82,226
"93454",115,226
"93462",123,226
"93504",165,226
"93826",74,227
"93895",143,227
"94231",66,228
"94366",201,228
"94376",211,228
"95079",88,230
"95093",102,230
"95592",188,231
"95596",192,231
"95611",207,231
"95868",51,232
"95881",64,232
"95996",179,232
"96029",212,232
"96315",85,233
"96361",131,233
"96420",190,233
"96661",18,234
"96691",48,234
"96767",124,234
"96798",155,234
"96804",161,234
"96805",162,234
"96820",177,234
"96848",205,234
"97237",181,235
"97247",191,235
"97470",1,236
"97897",15,237
"97912",30,237
"97929",47,237
"97955",73,237
"97987",105,237
"98010",128,237
"98306",11,238
"98393",98,238
"98461",166,238
"98741",33,239
"99135",14,240
"99237",116,240
"99304",183,240
"99535",1,241
"99557",23,241
"99579",45,241
"99770",236,241
"100092",145,242
"100385",25,243
"100499",139,243
"101367",181,245
"101377",191,245
"101421",235,245
"101677",78,246
"101692",93,246
"101818",219,246
"102071",59,247
"102150",138,247
"102449",24,248
"102555",130,248
"102929",91,249
"103303",52,250
"103429",178,250
"103461",210,250
"104212",135,252
"104293",216,252
"104553",63,253
"104684",194,253
"104958",55,254
"105353",37,255
"105485",169,255
"105509",193,255
"105809",80,256
"105835",106,256
"106156",14,257
"106258",116,257
"106325",183,257
"106382",240,257
"106983",15,259
"106998",30,259
"107015",47,259
"107041",73,259
"107073",105,259
"107096",128,259
"107205",237,259
"107398",17,260
"107402",21,260
"107403",22,260
"107468",87,260
"107485",104,260
"107553",172,260
"107567",186,260
"108672",52,263
"108798",178,263
"108830",210,263
"108870",250,263
"109039",6,264
"109083",50,264
"109130",97,264
"109233",200,264
"109247",214,264
"109656",210,265
"110015",156,266
"110297",25,267
"110411",139,267
"110515",243,267
"110853",168,268
"111172",74,269
"111948",24,271
"112388",51,272
"112401",64,272
"112516",179,272
"112549",212,272
"112569",232,272
"112760",10,273
"112769",19,273
"112860",110,273
"112896",146,273
"113262",99,274
"113633",57,275
"114023",34,276
"114110",121,276
"114111",122,276
"114142",153,276
"114427",25,277
"114541",139,277
"114645",243,277
"114669",267,277
"115712",71,280
"115801",160,280
"116149",95,281
"116167",113,281
"116241",187,281
"116267",213,281
"116271",217,281
"116677",210,282
"117100",220,283
"117435",142,284
"117508",215,284
"117748",42,285
"119061",116,288
"119362",4,289
"119378",20,289
"119981",210,290
"120050",279,290
"120236",52,291
"120362",178,291
"120394",210,291
"120434",250,291
"120447",263,291
"120765",168,292
"120865",268,292
"121068",58,293
"121427",4,294
"121443",20,294
"121712",289,294
"121871",35,295
"121912",76,295
"122252",3,296
"122333",84,296
"122343",94,296
"122673",11,297
"122760",98,297
"122828",166,297
"122900",238,297
"123498",10,299
"123507",19,299
"123598",110,299
"123634",146,299
"123732",244,299
"123761",273,299
"124380",66,301
"124441",127,301
"124515",201,301
"124525",211,301
"124542",228,301
"124872",145,302
"124969",242,302
"125151",11,303
"125238",98,303
"125306",166,303
"125378",238,303
"125437",297,303
"125618",65,304
"125973",7,305
"125993",27,305
"126106",140,305
"126386",7,306
"126406",27,306
"126519",140,306
"126684",305,306
"127505",300,308
"127828",210,309
"127883",265,309
"128641",197,311
"129273",3,313
"129354",84,313
"129364",94,313
"129566",296,313
"129692",9,314
"129699",16,314
"129774",91,314
"129808",125,314
"130325",229,315
"130816",307,316
"131192",270,317
"131412",77,318
"131424",89,318
"131479",144,318
"131533",198,318
"131849",101,319
"131972",224,319
"132170",9,320
"132177",16,320
"132242",81,320
"132252",91,320
"132286",125,320
"132475",314,320
"132673",99,321
"132848",274,321
"133175",188,322
"133179",192,322
"133194",207,322
"133218",231,322
"133488",88,323
"133502",102,323
"133630",230,323
"134111",298,324
"134278",52,325
"134312",86,325
"134793",154,326
"134909",270,326
"134956",317,326
"135074",22,327
"135081",29,327
"135106",54,327
"135152",100,327
"135204",152,327
"135207",155,327
"135223",171,327
"135621",156,328
"135731",266,328
"136034",156,329
"136144",266,329
"136206",328,329
"136293",2,330
"136440",149,330
"136465",174,330
"136735",31,331
"136753",49,331
"136757",53,331
"136772",68,331
"136776",72,331
"136861",157,331
"136863",159,331
"136867",163,331
"136893",189,331
"137174",57,332
"137392",275,332
"137596",66,333
"137731",201,333
"137741",211,333
"137758",228,333
"137831",301,333
"137985",42,334
"138228",285,334
"138371",15,335
"138386",30,335
"138403",47,335
"138429",73,335
"138461",105,335
"138484",128,335
"138593",237,335
"138615",259,335
"138825",56,336
"138994",225,336
"139325",143,337
"139609",14,338
"139711",116,338
"139778",183,338
"139835",240,338
"139852",257,338
"140037",29,339
"140056",48,339
"140163",155,339
"140170",162,339
"140185",177,339
"140213",205,339
"140242",234,339
"140335",327,339
"140618",197,340
"140732",311,340
"140868",34,341
"140955",121,341
"140956",122,341
"140987",153,341
"141110",276,341
"141279",32,342
"141380",133,342
"141423",176,342
"141469",222,342
"141706",46,343
"141789",129,343
"141818",158,343
"142147",74,344
"142216",143,344
"142300",227,344
"142538",52,345
"142664",178,345
"142696",210,345
"142736",250,345
"142749",263,345
"142777",291,345
"142934",35,346
"142975",76,346
"143194",295,346
"143343",31,347
"143361",49,347
"143365",53,347
"143380",68,347
"143384",72,347
"143469",157,347
"143471",159,347
"143475",163,347
"143501",189,347
"143643",331,347
"143740",15,348
"143755",30,348
"143772",47,348
"143798",73,348
"143830",105,348
"143853",128,348
"143962",237,348
"143984",259,348
"144060",335,348
"144348",210,349
"144420",282,349
"144554",3,350
"144635",84,350
"144645",94,350
"144847",296,350
"144864",313,350
"145184",220,351
"145247",283,351
"145408",31,352
"145426",49,352
"145430",53,352
"145445",68,352
"145449",72,352
"145534",157,352
"145536",159,352
"145540",163,352
"145566",189,352
"145708",331,352
"145724",347,352
"146010",220,353
"146073",283,353
"146141",351,353
"146310",107,354
"146903",287,355
"147584",142,357
"147657",215,357
"147726",284,357
"148165",310,358
"148279",11,359
"148366",98,359
"148434",166,359
"148506",238,359
"148565",297,359
"148571",303,359
"148991",310,360
"149039",358,360
"149175",81,361
"149185",91,361
"149414",320,361
"149957",37,363
"150089",169,363
"150113",193,363
"150175",255,363
"150357",24,364
"150857",111,365
"151176",17,366
"151180",21,366
"151181",22,366
"151213",54,366
"151246",87,366
"151259",100,366
"151263",104,366
"151270",111,366
"151330",171,366
"151331",172,366
"151345",186,366
"151419",260,366
"151486",327,366
"151524",365,366
"151616",44,367
"151722",150,367
"151988",3,368
"152069",84,368
"152079",94,368
"152281",296,368
"152298",313,368
"152335",350,368
"152483",85,369
"152529",131,369
"152588",190,369
"152631",233,369
"152873",62,370
"152943",132,370
"152945",134,370
"153231",7,371
"153251",27,371
"153364",140,371
"153529",305,371
"153530",306,371
"153782",145,372
"153879",242,372
"153939",302,372
"154121",71,373
"154210",160,373
"154330",280,373
"154529",66,374
"154664",201,374
"154674",211,374
"154691",228,374
"154764",301,374
"154796",333,374
"154915",39,375
"155300",11,376
"155387",98,376
"155455",166,376
"155527",238,376
"155586",297,376
"155592",303,376
"155648",359,376
"156251",136,378
"156314",199,378
"156570",42,379
"156813",285,379
"156862",334,379
"156979",38,380
"156983",42,380
"157161",220,380
"157224",283,380
"157226",285,380
"157275",334,380
"157292",351,380
"157294",353,380
"157320",379,380
"157769",2,382
"157916",149,382
"157941",174,382
"158097",330,382
"158180",0,383
"158193",13,383
"158262",82,383
"158382",202,383
"158627",34,384
"158714",121,384
"158715",122,384
"158746",153,384
"158869",276,384
"158934",341,384
"159008",2,385
"159155",149,385
"159180",174,385
"159336",330,385
"159388",382,385
"159465",46,386
"159548",129,386
"159577",158,386
"159762",343,386
"159880",48,387
"159987",155,387
"159994",162,387
"160009",177,387
"160037",205,387
"160066",234,387
"160171",339,387
"160287",42,388
"160530",285,388
"160579",334,388
"160624",379,388
"160625",380,388
"160661",3,389
"160742",84,389
"160752",94,389
"160954",296,389
"160971",313,389
"161008",350,389
"161026",368,389
"161123",52,390
"161130",59,390
"161178",107,390
"161187",116,390
"161209",138,390
"161214",143,390
"161249",178,390
"161281",210,390
"161318",247,390
"161321",250,390
"161334",263,390
"161359",288,390
"161362",291,390
"161416",345,390
"161425",354,390
"161518",34,391
"161605",121,391
"161606",122,391
"161637",153,391
"161760",276,391
"161825",341,391
"161868",384,391
"162052",155,392
"162539",229,393
"162625",315,393
"163002",279,394
"163013",290,394
"163224",88,395
"163277",141,395
"163759",210,396
"163839",290,396
"163990",28,397
"164685",310,398
"164733",358,398
"164735",360,398
"164883",95,399
"164901",113,399
"164975",187,399
"165001",213,399
"165005",217,399
"165069",281,399
"165225",24,400
"165472",271,400
"165626",12,401
"166482",42,403
"166725",285,403
"166774",334,403
"166819",379,403
"166820",380,403
"166828",388,403
"166972",119,404
"167023",170,404
"167401",135,405
"167482",216,405
"167518",252,405
"167814",135,406
"167895",216,406
"167931",252,406
"168084",405,406
"168321",229,407
"168407",315,407
"168485",393,407
"168613",108,408
"168708",203,408
"168928",10,409
"168937",19,409
"169028",110,409
"169064",146,409
"169191",273,409
"169217",299,409
"169419",88,410
"169433",102,410
"169561",230,410
"169654",323,410
"170054",310,411
"170102",358,411
"170104",360,411
"170142",398,411
"170276",119,412
"170327",170,412
"170561",404,412
